TreeNumber,UTM_X,UTM_Y,Grid_X,Grid_Y,Species,D.A.,DBH_cm,Height_m,CBH_m
60,1019118.487,4334878.889,45.4,80.2,PIEN,,1.016,1.5,0.2
11,1019269.376,4334907.877,197.4,102.7,PIEN,,1.016,1.5,0.2
46,1019182.934,4334904.576,110.9,103.1,PIEN,,1.016,1.5,0.2
50,1019182.014,4334904.928,110,103.5,PIEN,,1.016,1.5,0.2
27,1019107.843,4334936.924,37.4,138.5,PIEN,,1.016,1.5,0.2
9,1019252.244,4335192.853,192.3,388.2,PIEN,,1.016,1.5,0.1
149,1019264.587,4334901.515,192.5,96.6,PIEN,,1.016,1.5,0.1
18,1019164.108,4334896.689,91.9,96,PIEN,,1.016,1.5,0.1
47,1019182.424,4334904.749,110.4,103.3,PIEN,,1.016,1.5,0.1
37,1019416.487,4334838.113,341.5,27,PIEN,,1.016,1.5,0
43,1019164.96,4334963.322,95.4,162.5,PIEN,,1.016,1.5,0
10,1019317.181,4335024.205,250.2,217,PIPO,,1.016,1.5,1
21,1019462.339,4334949.751,392.1,136.5,PIPO,,1.016,1.5,0.6
15,1019074.076,4335057.016,8.5,260,PIPO,,1.016,1.5,0.3
10,1019111.954,4334998.704,43.9,200.2,PIPO,,1.016,1.5,0.2
40,1019490.881,4335117.346,427.5,302.8,PIPO,,1.016,1.5,0
53,1019144.717,4334946.247,74.5,146.3,PIPU,,1.016,1.5,0.7
48,1019281.674,4334848.529,207.2,43,PIPU,,1.016,1.5,0.5
30,1019174.765,4334969.13,105.5,168,PIPU,,1.016,1.5,0.4
23,1019248.554,4334822.781,173.2,18.6,PIPU,,1.016,1.5,0.3
14,1019291.727,4334853.468,217.5,47.4,PIPU,,1.016,1.5,0.3
66,1019201.064,4334881.085,128.2,78.9,PIPU,,1.016,1.5,0.3
14,1019246.817,4334887.275,174,83.1,PIPU,,1.016,1.5,0.3
84,1019147.468,4334954.805,77.7,154.7,PIPU,,1.016,1.5,0.3
22,1019251.093,4334824.016,175.8,19.7,PIPU,,1.016,1.5,0.2
15,1019246.47,4334886.255,173.6,82.1,PIPU,,1.016,1.5,0.2
26,1019165.09,4334960.526,95.6,159.7,PIPU,,1.016,1.5,0.2
32,1019130.022,4334945.788,59.8,146.4,PIPU,,1.016,1.5,0.2
16,1019246.533,4334886.959,173.7,82.8,PIPU,,1.016,1.5,0.1
19,1019247.476,4334928.465,176.4,124.2,PIPU,,1.016,1.5,0.1
29,1019168.538,4334959.707,99,158.7,PIPU,,1.016,1.5,0.1
19,1019093.779,4334964.916,24.4,167.2,PIPU,,1.016,1.5,0.1
24,1019248.35,4334820.967,172.9,16.8,PIPU,,1.016,1.5,0
24,1019394.266,4334958.819,324.38,148.5,POTR,,1.016,1.5,0
30,1019260.345,4334827.391,185,22.8,PSME,,1.27,1.5,0.8
42,1019183.074,4335161.809,121.8,360.2,PSME,,1.27,1.5,0.7
26,1019132.04,4334912.634,60.5,113.4,PSME,,1.27,1.5,0.5
43,1019183.074,4335161.809,121.8,360.2,PSME,,1.27,1.5,0.4
26,1019389.943,4335202.016,330.3,391.6,PSME,,1.27,1.5,0.4
6,1019140.016,4334903.843,68,104.2,PSME,,1.27,1.5,0.1
28,1019476.686,4335116.914,413.3,302.9,PSME,,1.27,1.5,0
40,1019396.843,4335205.986,337.4,395.2,PIFL2,,1.27,1.5,0.6
29,1019154.111,4335181.541,93.7,381,PIFL2,,1.27,1.5,0.6
3,1019369.951,4335053.278,304,243.9,PIFL2,,1.27,1.5,0.5
3,1019130.933,4334837.593,56.3,38.3,PIFL2,,1.27,1.5,0.3
10,1019398.046,4335184.822,337.7,374,PIFL2,,1.27,1.5,0.2
9,1019306.883,4335168.553,245.8,361.7,PIFL2,,1.27,1.5,0.2
100,1019457.491,4335177.899,396.7,364.6,PIEN,,1.27,1.5,1.3
93,1019198.952,4334875.566,125.8,73.5,PIEN,,1.27,1.5,1
84,1019207.018,4334953.496,137.1,150.9,PIEN,,1.27,1.5,0.9
31,1019461.642,4335180.804,401,367.5,PIEN,,1.27,1.5,0.8
3,1019188.558,4334902.37,116.4,100.6,PIEN,,1.27,1.5,0.8
18,1019113.353,4335194.842,53.7,396,PIEN,,1.27,1.5,0.7
73,1019188.617,4334866.525,115,64.8,PIEN,,1.27,1.5,0.7
28,1019240.608,4334891.052,168,87.2,PIEN,,1.27,1.5,0.7
51,1019268.596,4335178.68,208.1,373.4,PIEN,,1.27,1.5,0.6
92,1019198.963,4334875.366,125.8,73.3,PIEN,,1.27,1.5,0.6
49,1019168.079,4334878.074,95.1,77.2,PIEN,,1.27,1.5,0.6
21,1019204.142,4334920.1,132.9,117.7,PIEN,,1.27,1.5,0.6
27,1019205.367,4334919.664,134.1,117.2,PIEN,,1.27,1.5,0.6
20,1019452.524,4335173.031,391.7,360,PIEN,,1.27,1.5,0.5
17,1019454.749,4335174.85,393.8,361.7,PIEN,,1.27,1.5,0.5
